id,name,joining_date,leaving_date,department_id 
859327,Jeni,12/10/2015,12/10/2015,1
887387,Donald,11/12/1979,11/12/1979,1
779497,Steven,9/18/2008,9/18/2008,1
896517,Jenell,7/14/1993,7/14/1993,1
220965,Almeta,4/25/2017,4/25/2017,1
721091,Bobbie,4/27/2017,4/27/2017,1
633636,Bertram,11/2/2012,11/2/2012,1
823898,Carlton,1/7/2009,1/7/2009,1
413865,Todd,3/7/2017,3/7/2017,1
439483,Adalberto,4/27/1995,4/27/1995,1
809408,Seymour,7/2/2017,7/2/2017,2
748190,Vicente,7/2/2016,7/2/2016,4
397283,Rex,1/17/2007,1/17/2007,3
553684,Arlena,12/26/2015,12/26/2015,3
495667,Cory,4/27/2012,4/27/2012,2
936158,Sofia,7/18/1993,7/18/1993,3
537591,Samuel,2/24/2016,2/24/2016,4
909018,Virgil,11/21/2016,11/21/2016,2
878666,Elda,11/8/2016,11/8/2016,2
995710,Robert,1/8/1997,1/8/1997,2
511059,Humberto,11/12/2012,11/12/2012,2
754455,Anastasia,2/26/2011,2/26/2011,2
489275,Collene,8/14/1993,8/14/1993,2
500905,Harris,1/29/1999,1/29/1999,6
984409,Kathe,12/28/2013,12/28/2013,7
812053,Ashly,2/10/2014,2/10/2014,8
550206,Geraldo,5/6/2002,5/6/2002,4
728053,Leigh,6/3/2004,6/3/2004,3
184257,Devon,9/3/2005,9/3/2005,5
235295,Yevette,10/14/1995,10/14/1995,6
767674,Irena,2/24/2009,2/24/2009,7
391837,Cory,3/31/1992,3/31/1992,8
466560,Dolores,3/21/2016,3/21/2016,9
900756,Benjamin,3/31/2010,3/31/2010,10
678628,Theron,7/8/2015,7/8/2015,10
492527,Hilton,3/18/2009,3/18/2009,10
886060,Sixta,2/29/2004,2/29/2004,3
366431,Sade,1/20/2016,1/20/2016,3
331297,Shemika,2/7/2003,2/7/2003,3
496541,Winfred,1/18/2016,1/18/2016,3
654617,Rogelio,12/22/1996,12/22/1996,4
163409,Damion,3/20/2015,3/20/2015,5
299088,Dannie,10/13/2016,10/13/2016,4
961442,Stephan,10/17/2009,10/17/2009,3
155097,Dorian,7/14/1992,7/14/1992,1
976422,Jake,9/25/2003,9/25/2003,1
138911,Claudio,5/14/2005,5/14/2005,1
160938,Marcel,4/25/2006,4/25/2006,1
399707,Dillon,1/29/2015,1/29/2015,1
